utrip_id,city_id,hotel_country
4412524_1,64824,Santa Prisca
4420557_1,2748,Leutonia
4422297_1,13603,Alvonia
4428620_3,9186,Tcherkistan
4450650_4,36063,Gondal
44522_1,45173,Sokovia
4495202_1,38677,Cobra Island
4500633_2,48285,Fook Island
4517773_4,60002,Gondal
4536968_3,66689,Rolisica
4563844_4,48226,Glubbdubdrib
4573129_1,36170,Carpathia
4577225_1,24910,Fook Island
460414_2,51765,Nevoruss
4609930_1,12426,Fook Island
4620406_2,45543,Elbonia
4630998_1,65365,Gondal
4643612_2,27115,Gondal
4648982_3,47976,Holy Britannian Empire
4668152_6,45020,Rook Islands
4679705_1,4932,Borginia
4680760_13,57915,Elbonia
4692262_1,51291,Glubbdubdrib
4727383_1,57266,Alvonia
4738583_3,19245,Cobra Island
4739766_1,47499,Kangan
4758018_3,56983,Kangan
4775420_1,4065,Cobra Island
4789681_1,47360,Fook Island
4805334_3,17127,Fook Island
4808014_2,29319,Cobra Island
4814891_1,57472,Gondal
4831221_3,3763,Glubbdubdrib
48753_1,43306,Carpathia
4901678_2,13444,Axphain
4913746_1,15332,Fook Island
4924447_2,67068,Glubbdubdrib
4928906_1,48973,Fook Island
4987622_1,14060,Glubbdubdrib
4989460_2,23243,São Rico
4999864_1,22065,Leutonia
500893_2,66648,Glubbdubdrib
5020500_1,55196,Dawsbergen
5066491_1,13530,Alvonia
5082574_2,39730,Osterlich
5099345_1,58136,Aldorria
5127469_1,63151,Borginia
5128569_1,62552,Syldavia
5129608_1,11783,Kangan
5169925_1,25617,Cobra Island
519025_2,58178,Gondal
5230343_2,43038,Yudonia
5243086_8,11113,Gondal
5283045_1,23921,Cobra Island
5287790_1,47976,Holy Britannian Empire
5290294_2,3763,Glubbdubdrib
5309150_1,36460,Cobra Island
5313742_1,11052,Carpathia
5343325_2,44109,Holy Britannian Empire
5371773_1,65856,Holy Britannian Empire
537965_1,52571,Bozatta
538634_1,14827,Fook Island
5386946_1,63840,Cobra Island
5429917_1,38571,Fook Island
544118_1,7549,Glubbdubdrib
5454290_1,61487,Santa Prisca
5461951_1,29712,Fook Island
5484053_1,32821,Cobra Island
5530792_1,11236,Pullamawang
5554549_1,22297,Rolisica
5574907_2,64133,Fook Island
5595202_1,51517,Sarkhan
5600024_1,43638,Borginia
5604332_1,53854,Slaka
5612976_1,63418,Carjackistan
5614522_1,10654,Fook Island
5618741_1,4202,Kangan
5622219_1,57117,Cobra Island
564597_1,41050,Cobra Island
5657924_2,52134,Elbonia
566444_1,21534,Pullamawang
5666208_1,27115,Gondal
5676753_1,3763,Glubbdubdrib
5691140_3,8766,Patusan
573692_1,61612,Robo-Hungarian Empire
5757720_2,55196,Dawsbergen
5761017_1,23921,Cobra Island
5777179_1,29770,Elbonia
581367_1,13614,Gondal
5824530_1,47499,Kangan
5859552_1,29770,Elbonia
5864655_1,56698,Bozatta
5920715_1,37496,Cobra Island
5941328_1,735,Patusan
5952124_1,47499,Kangan
5999955_1,37016,Fook Island
6030911_3,47976,Holy Britannian Empire
6034751_2,34640,Gondal
6039904_1,61678,Genosha
6044835_5,62611,Idris
6059943_9,37689,Gondal
6142441_1,58821,Robo-Hungarian Empire
614960_1,16521,Carjackistan
6158190_1,61487,Santa Prisca
6181348_1,35530,Elbonia
6249224_1,2416,Drusselstein
6255444_1,32936,Alvonia
634705_1,3387,Gondal
635947_1,64876,Fook Island
6559_1,61320,Bozatta
67_1,3763,Glubbdubdrib
690563_1,57620,Borginia
695669_2,17127,Fook Island
695887_1,40811,Glubbdubdrib
696499_1,66809,Bozatta
719367_1,64876,Fook Island
726070_1,66648,Glubbdubdrib
745273_1,57400,Gondal
745989_1,52168,Santa Prisca
754594_1,11115,Aslerfan
777839_2,13530,Alvonia
782425_1,382,Fook Island
79944_1,9526,Kangan
801234_2,382,Fook Island
804574_2,56983,Kangan
82451_1,382,Fook Island
825459_1,36435,"Braganza, Dominion of"
844246_1,47499,Kangan
860744_1,950,Pullamawang
863857_1,13356,Kasnia
914483_4,15337,Elbonia
920359_1,33022,Aldovia
921974_1,22230,San Sombrèro
952456_1,29813,Syldavia
973994_1,49668,Rolisica
980765_2,34744,Atlantis
982399_7,51259,Oceania
990588_1,47527,Holy Britannian Empire
1011290_1,10382,Gondal
1035857_2,3124,Cobra Island
1049163_1,47499,Kangan
1077235_4,28491,Nova Africa
1078963_1,26763,Glubbdubdrib
1081122_2,4202,Kangan
108138_1,4932,Borginia
1138978_1,53914,Fook Island
1160452_1,8462,Rolisica
1175737_1,20345,Fook Island
1244798_2,64876,Fook Island
1269973_1,61678,Genosha
1270084_3,58741,Bartovia
1305252_2,29319,Cobra Island
1362448_3,27404,Cobra Island
1366592_1,13530,Alvonia
1376382_1,29770,Elbonia
1385713_2,21267,Gondal
1392438_2,53739,Holy Britannian Empire
1409240_1,45030,Alvonia
141122_1,54465,Gondal
1413497_11,26742,Elbonia
1447084_1,65966,Gondal
1465938_1,54606,Glubbdubdrib
1466593_1,1046,Glubbdubdrib
1500554_1,44561,Holy Britannian Empire
1512512_1,66139,Elbonia
1516293_3,45617,Rolisica
1522169_2,23921,Cobra Island
1523318_11,32060,Gondal
1533162_1,23243,São Rico
1552247_2,25286,Laurania
157675_1,1940,Rolisica
1601501_2,8462,Rolisica
1609398_1,14833,Bangalla
1613692_2,61320,Bozatta
1649049_1,17013,Borginia
1665502_1,19444,Carpathia
1675250_1,49668,Rolisica
1682165_1,15381,Cobra Island
1685669_2,4932,Borginia
169352_1,58688,Aldovia
1696419_1,44103,Santa Prisca
1725684_1,2416,Drusselstein
1726872_1,64091,Kasnia
1757494_1,51259,Oceania
1766653_1,28501,Gondal
1768447_2,51259,Oceania
177649_1,6779,Kamistan
1782184_1,33440,Nevoruss
1797073_1,26436,Nova Africa
1800458_1,48711,Fook Island
1802095_1,29770,Elbonia
180713_1,42478,Glubbdubdrib
1818397_1,47486,Holy Britannian Empire
1820308_1,34123,Cobra Island
1837163_1,19101,Nevoruss
1861710_1,20662,Osterlich
18834_1,26235,Alvonia
189998_1,25328,Idris
1908263_1,17013,Borginia
1933327_2,6779,Kamistan
1946073_1,51765,Nevoruss
1950939_1,4932,Borginia
1983143_2,15990,Holy Britannian Empire
1995443_1,39315,Bozatta
2025110_1,34707,Grenyarnia
2056104_1,51135,Santa Prisca
2061434_1,17013,Borginia
2061561_2,48343,Dawsbergen
2061674_1,63415,São Rico
20732_1,55353,Santa Prisca
2103220_1,67560,Borginia
2117179_1,37761,Holy Britannian Empire
2129951_1,26904,Glubbdubdrib
2131716_1,22252,Edonia
2150348_1,38793,Sylvania
2155130_1,23472,Santa Prisca
2163661_2,24582,Alvonia
2193452_1,59229,Gondal
2225366_1,4932,Borginia
2258077_1,64496,Trans-Carpathia
2279373_1,51291,Glubbdubdrib
2293452_1,52571,Bozatta
2307856_2,46675,Kumbolaland
2315639_1,12379,Alvonia
2319985_1,38473,Cobra Island
235353_1,47486,Holy Britannian Empire
2382255_1,2454,Gondal
2393529_1,51904,Qasha
2399132_2,7410,Kasnia
2410032_1,66923,Fook Island
2412132_1,21741,Gondal
2414295_1,26436,Nova Africa
2415286_1,15343,Borginia
243147_9,8468,Gondal
2452242_1,49185,Axphain
2470798_2,55044,Pullamawang
2496304_1,51259,Oceania
2512182_1,56983,Kangan
2528727_1,2429,Kasnia
2544138_1,28316,Kasnia
2546915_1,61733,"Merania, Kingdom of"
2574316_1,17127,Fook Island
2593608_1,48483,Cobra Island
2604112_2,18913,Glubbdubdrib
2612669_2,15343,Borginia
2619273_1,62185,Axphain
2622030_3,23093,Holy Britannian Empire
2622973_2,2870,Gondal
2641327_1,45378,Cobra Island
2655663_1,1979,Kangan
2666413_1,18417,Glubbdubdrib
2702437_1,41882,Gondal
2726925_1,47499,Kangan
2759186_1,43641,Cobra Island
277616_1,51135,Santa Prisca
280900_1,58733,Fook Island
2816656_2,23921,Cobra Island
2860209_1,28253,Cobra Island
2879192_1,10485,Kangan
289638_2,21267,Gondal
290663_1,45188,Sylvania
2927679_1,8335,Cobra Island
2931672_1,63151,Borginia
2938994_1,35570,Cobra Island
2942494_2,29667,Leutonia
2964016_2,33890,Borginia
297002_1,61316,Drusselstein
2975568_1,6196,Fook Island
2985963_1,23714,Glubbdubdrib
2999388_2,29319,Cobra Island
3021560_1,11488,Cobra Island
3034499_4,22740,Grenyarnia
3048274_1,61487,Santa Prisca
3069597_1,29770,Elbonia
307309_1,22490,Fook Island
3077423_1,35060,Fook Island
3081022_1,13931,Cobra Island
3129731_1,25255,Leutonia
3133927_2,29268,Gondal
3142239_1,12308,Santa Prisca
3149277_1,37331,Glubbdubdrib
3177433_1,1909,Glubbdubdrib
3189592_2,65663,Oceania
321305_3,29319,Cobra Island
3250917_1,9608,Fook Island
3273411_2,58178,Gondal
3308369_2,7549,Glubbdubdrib
3309066_1,27388,Gondal
3310197_1,2459,Turgistan
3317251_1,2416,Drusselstein
331936_1,17013,Borginia
3329120_5,2721,Cobra Island
3330325_2,47324,Glubbdubdrib
3330595_1,38677,Cobra Island
3355525_1,21929,Dawsbergen
3361908_1,60441,Mypos
3369415_2,36766,Gondal
3375704_2,58819,Fook Island
3378791_1,6931,Alvonia
3395419_1,67429,Bozatta
3416018_1,33022,Aldovia
342506_3,38677,Cobra Island
3434621_1,9608,Fook Island
3455665_1,56590,Marina Venetta
3472515_1,2078,Kasnia
3519475_1,11404,Gondal
352060_1,64876,Fook Island
3521418_1,55935,Gondal
3522641_2,18343,Zephyria
3537555_1,43306,Carpathia
3542944_1,26436,Nova Africa
3561404_1,42368,Gondal
3571847_1,21925,Fook Island
3572274_5,36063,Gondal
358961_2,37721,Cobra Island
3604073_1,54343,Halla
3625792_2,47527,Holy Britannian Empire
3639805_1,49376,Gondal
3655503_1,47499,Kangan
3664915_1,21929,Dawsbergen
3689250_1,30836,Kasnia
3706277_1,11652,Borginia
3711837_1,21671,Fook Island
3724_1,52815,Aldovia
3741203_2,16521,Carjackistan
3812545_1,31088,Fook Island
3818406_1,51517,Sarkhan
3821391_1,36063,Gondal
3885678_2,46266,Pullamawang
3890905_1,45188,Sylvania
3910216_1,1241,Nevoruss
3948491_1,52378,Bartovia
395483_1,6536,Yerba
3956090_1,36063,Gondal
3981547_1,2416,Drusselstein
3983440_1,55128,Fook Island
4063146_2,26289,Fook Island
4080461_2,49063,Kangan
4083880_1,64876,Fook Island
4098775_1,47499,Kangan
4110433_5,62185,Axphain
411665_1,67361,Cobra Island
4117372_2,2369,Nova Africa
4124192_1,58178,Gondal
4141698_1,18554,Glubbdubdrib
4144245_1,32821,Cobra Island
4157079_1,62526,Gondal
4158630_1,51169,Bozatta
4177343_1,20861,Bozatta
4182142_2,49668,Rolisica
4184026_1,18311,Cobra Island
4187061_2,44869,Elbonia
4189528_2,30768,Gondal
4199855_3,31890,Rolisica
4213496_1,65663,Oceania
4213594_1,46854,Leutonia
4239881_1,30768,Gondal
4250790_1,16362,Patusan
4264097_1,7192,Gondal
4356178_1,29770,Elbonia
4360845_1,17127,Fook Island
4363945_1,6582,Sokovia
4376909_1,21641,Fook Island
4387921_1,2397,Rook Islands
4389803_1,36063,Gondal
4393866_2,4932,Borginia
4408622_1,50867,Dawsbergen
4416325_1,47499,Kangan
4430071_2,26436,Nova Africa
4430144_2,64876,Fook Island
4440147_1,11652,Borginia
4443958_1,46976,Gondal
4450418_1,4754,Khura'in
4471882_1,26911,Fook Island
4498077_1,4932,Borginia
4502455_1,16521,Carjackistan
4514550_1,60497,Cobra Island
4549105_1,58741,Bartovia
4549926_1,8335,Cobra Island
4560826_1,51765,Nevoruss
4563380_1,61320,Bozatta
4622377_2,55653,Yerba
4629352_1,18534,Santa Prisca
4639035_2,22490,Fook Island
4643104_1,36063,Gondal
4656134_1,63151,Borginia
4660269_1,46633,Edonia
4674684_1,50961,Gondal
47306_1,16888,Holy Britannian Empire
4734558_2,33341,Bozatta
474319_1,46361,Vadeem
4745650_1,31890,Rolisica
4749649_1,5864,Kasnia
4789146_1,57931,Kasnia
4793097_1,36779,Bultan
4796803_1,6582,Sokovia
4865493_1,44540,Cobra Island
4882097_1,64269,Carpathia
4896303_1,17775,Novistrana
4931420_2,59535,Palombia
4955809_1,2748,Leutonia
4969012_3,13642,Fook Island
4974908_1,31748,Fook Island
4976622_1,67371,Axphain
5028099_1,59535,Palombia
5030167_1,24890,Glubbdubdrib
5081252_1,48905,Aldovia
5085293_2,54353,Kangan
5129814_1,52634,Edonia
5138851_2,44869,Elbonia
515862_1,5232,Edonia
5184050_1,47112,Glubbdubdrib
5195032_2,45574,Glubbdubdrib
5226185_3,21730,Cobra Island
5255114_2,29319,Cobra Island
5262069_1,35451,Elbonia
5262959_1,51765,Nevoruss
5295337_1,56893,Kamistan
5296431_2,16468,Cobra Island
5306194_2,52815,Aldovia
5307626_1,25025,Norland
5318026_1,32821,Cobra Island
5354119_7,12003,Gondal
5386016_1,61320,Bozatta
5398214_1,40250,Fook Island
5410006_1,37689,Gondal
5416690_1,14563,Kangan
5435497_1,20514,Glubbdubdrib
5456530_1,14549,Kangan
5521984_2,38348,Santa Prisca
5526533_2,33048,Leutonia
5572721_1,46522,Cobra Island
557788_1,61320,Bozatta
5580130_1,8462,Rolisica
5612344_1,66648,Glubbdubdrib
5616205_3,4065,Cobra Island
5618380_1,19771,Patusan
5622415_1,14646,Drusselstein
5636671_2,65690,Kamistan
5637129_2,65966,Gondal
5640049_1,47499,Kangan
5665613_1,63394,Elbonia
5670589_1,18965,Elbonia
5675989_1,22094,Aslerfan
5709638_1,29319,Cobra Island
574453_2,39820,Elbonia
5745365_1,49561,Fook Island
576652_2,62185,Axphain
5787020_1,36063,Gondal
5787383_1,53793,Sokovia
579894_1,3763,Glubbdubdrib
5854009_4,23714,Glubbdubdrib
5930588_1,21929,Dawsbergen
5961157_1,49231,Fook Island
5967663_2,29319,Cobra Island
5968210_1,26436,Nova Africa
5997345_1,52390,Alvonia
6011659_4,23243,São Rico
6024508_2,27269,Gondal
6029677_1,23089,Elbonia
6051454_1,17013,Borginia
6062021_1,28115,Grenyarnia
6081388_2,29562,Santa Prisca
6089738_2,26023,Dawsbergen
6109283_1,8335,Cobra Island
6144558_2,17013,Borginia
6155593_3,29463,Syldavia
6183456_1,61320,Bozatta
6187281_29,15337,Elbonia
62156_1,55,Cobra Island
62413_1,12105,Fook Island
6248258_1,47153,Gondal
6249033_1,46854,Leutonia
6255742_1,18651,The Devilfire Empire
6257559_1,63669,Alvonia
627276_1,2416,Drusselstein
64839_1,29943,Axphain
651725_1,17707,Bartovia
665932_1,15284,Tcherkistan
670373_2,38677,Cobra Island
693278_1,46026,Nova Africa
703947_1,4202,Kangan
705746_1,33034,Bartovia
722503_2,52848,Axphain
737970_2,64824,Santa Prisca
760903_1,20514,Glubbdubdrib
767906_1,26730,Alvonia
780273_1,32632,Yerba
785166_2,12841,Marina Venetta
798562_1,56870,Fook Island
826065_1,17127,Fook Island
857366_15,37689,Gondal
86541_1,47976,Holy Britannian Empire
870953_1,47827,Gondal
873369_1,47499,Kangan
882951_2,44561,Holy Britannian Empire
894649_1,19444,Carpathia
900773_1,38324,Kasnia
901305_1,11481,Gondal
906924_1,17013,Borginia
928502_2,22553,Gondal
974758_2,47499,Kangan
1018771_2,278,Gondal
1021211_1,45025,Mypos
1027544_1,37704,El Othar
1030587_7,44869,Elbonia
1031655_6,57518,Bacteria
1069595_1,30688,San Sombrèro
1088453_2,63898,Slaka
1099519_2,51746,Aslerfan
1120213_1,22421,Borginia
1163012_2,39553,Yerba
1196471_1,47499,Kangan
1206866_1,9161,Bozatta
1210579_1,55128,Fook Island
1225418_1,32821,Cobra Island
1238832_1,52815,Aldovia
1277189_1,60237,Kangan
1279556_1,62185,Axphain
1281040_1,49681,Cobra Island
1291538_1,27115,Gondal
1295765_1,46854,Leutonia
1313900_1,12594,Fook Island
1322308_1,29319,Cobra Island
1349386_2,64269,Carpathia
1350190_3,40410,Gondal
1350327_3,22230,San Sombrèro
1357841_1,26305,Borginia
1370738_1,62185,Axphain
1372430_1,2078,Kasnia
1373309_1,25866,Glubbdubdrib
1434206_1,950,Pullamawang
1459687_1,55935,Gondal
1462727_1,8468,Gondal
1465027_2,24561,Laurania
1478963_1,61320,Bozatta
1481662_1,7001,Gondal
1485043_2,34903,Fook Island
1512844_1,37407,Glubbdubdrib
1545321_1,36063,Gondal
1548388_5,14744,Gondal
1575662_1,13931,Cobra Island
1578480_1,39878,Cobra Island
1610609_1,47499,Kangan
1619319_1,42597,Elbonia
1629247_1,24218,Kangan
1649940_2,26235,Alvonia
1668890_2,60274,Slaka
1681835_1,2122,Gondal
1689403_1,2416,Drusselstein
1694003_2,40194,Fook Island
1709189_1,21689,Gondal
1732563_4,14995,Gondal
1746553_1,22251,Gondal
1762505_1,28115,Grenyarnia
1763154_1,62929,Mypos
1763963_1,7410,Kasnia
1782592_2,12426,Fook Island
1812523_1,56893,Kamistan
1870872_1,26730,Alvonia
1884158_1,58151,Glubbdubdrib
1939150_1,36063,Gondal
1944074_1,52177,Fook Island
1987005_1,26436,Nova Africa
2000498_3,52574,Bultan
2000741_1,42429,Axphain
2022197_1,27269,Gondal
2053498_2,22469,Cobra Island
2053653_2,19335,Leutonia
2063251_2,2612,Holy Britannian Empire
2066875_4,36063,Gondal
207689_1,34145,Fook Island
2077533_1,2416,Drusselstein
2091867_7,61733,"Merania, Kingdom of"
2118194_1,42278,Gondal
2128214_1,45135,Cobra Island
2143573_1,55763,Bozatta
2159297_1,31093,Carpathia
2193648_1,16858,Gondal
2209334_1,26007,Borginia
2215247_1,38677,Cobra Island
2217592_2,34003,Samavia
2231777_1,12928,Cobra Island
2245241_1,45923,Glubbdubdrib
2278019_1,31205,Bozatta
228849_1,40531,Bozatta
2290207_1,55128,Fook Island
2291031_3,62950,Carpathia
2326488_4,19323,Osterlich
2418312_1,52376,Bozatta
2426571_1,41725,Dawsbergen
2441597_2,2465,Bartovia
2473559_2,18820,Cobra Island
2474415_1,63977,Cobra Island
2482217_1,11473,Fook Island
2486728_1,36063,Gondal
2489847_1,17764,Rook Islands
2497059_1,37874,Holy Britannian Empire
2515302_8,35563,Gondal
2520135_5,17013,Borginia
2567531_1,10543,Osterlich
2581464_2,30520,Glubbdubdrib
258387_1,30520,Glubbdubdrib
2675235_1,53793,Sokovia
2679952_1,38677,Cobra Island
2682291_1,40979,Cobra Island
2686961_1,59231,Gondal
2707184_1,3763,Glubbdubdrib
2745326_1,35324,Fook Island
2750984_1,1187,Fook Island
2781582_2,30450,Fook Island
2797648_1,2127,San Sombrèro
2826088_1,58178,Gondal
2851535_1,24783,Yerba
2857565_1,3082,Holy Britannian Empire
2861433_2,57266,Alvonia
2915468_3,51517,Sarkhan
2945364_1,46092,Edonia
2989761_2,4065,Cobra Island
3012170_1,22997,Bozatta
3045518_3,31107,Glubbdubdrib
3052437_1,980,Novistrana
3055445_2,64876,Fook Island
3085171_1,17127,Fook Island
3088760_1,7410,Kasnia
3092365_1,35530,Elbonia
3094815_2,26289,Fook Island
312238_1,34875,Leutonia
3150574_1,30870,Cobra Island
3173378_3,1745,Elbonia
3179984_1,27485,Cobra Island
318911_2,16521,Carjackistan
3199484_1,12887,Axphain
3204954_1,44489,Fook Island
3205816_1,6513,Nevoruss
3249910_2,56503,Axphain
3290957_1,24783,Yerba
3297976_1,62135,Grenyarnia
3350845_1,63151,Borginia
3372645_2,39571,Fook Island
3404497_1,29268,Gondal
3420135_2,40794,Cobra Island
3420199_1,2329,Alvonia
343690_1,47360,Fook Island
3455900_1,36170,Carpathia
3460553_4,2416,Drusselstein
348285_1,8139,Carjackistan
3502833_1,38772,Borginia
3528264_1,6582,Sokovia
3537362_1,43306,Carpathia
3573148_2,29319,Cobra Island
3605430_1,17127,Fook Island
3605814_1,382,Fook Island
3607408_1,17127,Fook Island
3621905_2,29319,Cobra Island
3646945_2,52662,Kangan
3657316_1,42276,Cobra Island
3668145_1,47976,Holy Britannian Empire
3680078_1,29022,Datlof
3685521_6,17990,Carpathia
3741302_1,41795,Gondal
3745057_1,6582,Sokovia
3750023_1,7663,Patusan
3755426_2,30765,Tcherkistan
3766095_2,3510,Glubbdubdrib
3778969_1,52815,Aldovia
378413_1,55529,Kangan
3872973_1,61569,Leutonia
3874633_2,31114,Gondal
3888846_1,41346,The Devilfire Empire
3898734_1,51090,Yerba
3901278_2,20789,Elbonia
3912539_1,43465,Alvonia
3938133_1,11783,Kangan
3960345_1,699,Fook Island
3960989_1,23739,Leutonia
3962901_1,2416,Drusselstein
3971921_1,2078,Kasnia
3975068_1,3100,Gondal
3993636_4,15733,Atlantis
4012748_1,56667,Bartovia
4016546_4,5781,Santa Prisca
4029035_1,4238,Leutonia
4085833_1,29659,Gondal
4091359_1,28154,Atlantis
409784_1,47759,Osterlich
409850_2,36530,Rolisica
4118655_2,64876,Fook Island
4135625_2,46854,Leutonia
413786_2,25413,Leutonia
4165070_1,51259,Oceania
4179039_1,56267,Gondal
4194298_4,12515,Carpathia
4206268_2,52815,Aldovia
4207529_1,22065,Leutonia
4228642_1,51259,Oceania
4232452_1,4557,Elbonia
4238136_1,59353,Glubbdubdrib
4240861_2,57620,Borginia
4245308_2,55452,Glubbdubdrib
